,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,false_positive_rate,threshold
522,2642.0,1251.0,1321.0,0.0,0.6666666865348816,1.0,0.800000011920929,0.5136080980300903,1.045045045045045
523,2642.0,1239.0,1333.0,0.0,0.6646540760993958,1.0,0.7985491752624512,0.5182737112045288,1.047047047047047
524,2642.0,1234.0,1338.0,0.0,0.6638190746307373,1.0,0.7979462146759033,0.5202177166938782,1.049049049049049
525,2642.0,1220.0,1352.0,0.0,0.6614922285079956,1.0,0.796262800693512,0.5256609916687012,1.0510510510510511
526,2642.0,1214.0,1358.0,0.0,0.6604999899864197,1.0,0.7955434918403625,0.5279937982559204,1.053053053053053
527,2642.0,1205.0,1367.0,0.0,0.6590172052383423,1.0,0.7944669723510742,0.5314930081367493,1.055055055055055
528,2642.0,1196.0,1376.0,0.0,0.657541036605835,1.0,0.7933933734893799,0.5349922180175781,1.057057057057057
529,2642.0,1191.0,1381.0,0.0,0.6567238569259644,1.0,0.7927982211112976,0.5369362235069275,1.059059059059059
530,2642.0,1183.0,1389.0,0.0,0.6554204821586609,1.0,0.7918477654457092,0.5400466322898865,1.0610610610610611
531,2642.0,1177.0,1395.0,0.0,0.6544463634490967,1.0,0.7911363840103149,0.5423794984817505,1.063063063063063
532,2642.0,1171.0,1401.0,0.0,0.6534751653671265,1.0,0.7904263138771057,0.5447123050689697,1.065065065065065
533,2642.0,1163.0,1409.0,0.0,0.6521846652030945,1.0,0.789481520652771,0.5478227138519287,1.067067067067067
534,2642.0,1159.0,1413.0,0.0,0.6515412926673889,1.0,0.7890099883079529,0.5493779182434082,1.069069069069069
535,2642.0,1152.0,1420.0,0.0,0.6504185199737549,1.0,0.7881861329078674,0.5520995259284973,1.0710710710710711
536,2642.0,1143.0,1429.0,0.0,0.6489806175231934,1.0,0.7871294617652893,0.5555987358093262,1.073073073073073
537,2642.0,1137.0,1435.0,0.0,0.6480255126953125,1.0,0.7864265441894531,0.5579315423965454,1.075075075075075
538,2642.0,1128.0,1444.0,0.0,0.6465981602668762,1.0,0.7853745818138123,0.561430811882019,1.077077077077077
539,2642.0,1122.0,1450.0,0.0,0.6456500291824341,1.0,0.7846747636795044,0.5637636184692383,1.079079079079079
540,2642.0,1116.0,1456.0,0.0,0.6447047591209412,1.0,0.7839762568473816,0.5660964250564575,1.0810810810810811
541,2642.0,1110.0,1462.0,0.0,0.6437621712684631,1.0,0.7832790017127991,0.5684292316436768,1.083083083083083
542,2642.0,1105.0,1467.0,0.0,0.642978847026825,1.0,0.7826988697052002,0.5703732371330261,1.085085085085085
543,2642.0,1102.0,1470.0,0.0,0.6425096988677979,1.0,0.7823511958122253,0.5715396404266357,1.087087087087087
544,2642.0,1096.0,1476.0,0.0,0.6415736079216003,1.0,0.781656801700592,0.573872447013855,1.089089089089089
545,2642.0,1090.0,1482.0,0.0,0.640640139579773,1.0,0.780963659286499,0.576205313205719,1.0910910910910911
546,2642.0,1081.0,1491.0,0.0,0.6392450928688049,1.0,0.7799261808395386,0.5797045230865479,1.093093093093093
547,2642.0,1072.0,1500.0,0.0,0.637856125831604,1.0,0.7788915038108826,0.5832037329673767,1.095095095095095
548,2642.0,1066.0,1506.0,0.0,0.636933445930481,1.0,0.7782032489776611,0.585536539554596,1.097097097097097
549,2642.0,1059.0,1513.0,0.0,0.6358603835105896,1.0,0.7774018049240112,0.5882581472396851,1.0990990990990992
550,2642.0,1053.0,1519.0,0.0,0.6349435448646545,1.0,0.7767161726951599,0.5905909538269043,1.1011011011011012
551,2642.0,1045.0,1527.0,0.0,0.633725106716156,1.0,0.7758038640022278,0.5937014222145081,1.103103103103103
552,2642.0,1040.0,1532.0,0.0,0.6329659819602966,1.0,0.7752347588539124,0.5956454277038574,1.105105105105105
553,2642.0,1037.0,1535.0,0.0,0.6325113773345947,1.0,0.7748937010765076,0.596811830997467,1.107107107107107
554,2642.0,1033.0,1539.0,0.0,0.631906270980835,1.0,0.7744393944740295,0.5983670353889465,1.1091091091091092
555,2642.0,1025.0,1547.0,0.0,0.6306994557380676,1.0,0.7735324501991272,0.6014774441719055,1.1111111111111112
556,2642.0,1022.0,1550.0,0.0,0.6302480697631836,1.0,0.7731928825378418,0.6026438474655151,1.1131131131131131
557,2642.0,1017.0,1555.0,0.0,0.6294972896575928,1.0,0.772627592086792,0.6045878529548645,1.115115115115115
558,2642.0,1012.0,1560.0,0.0,0.6287482380867004,1.0,0.772063136100769,0.6065318584442139,1.117117117117117
559,2642.0,1005.0,1567.0,0.0,0.627702534198761,1.0,0.7712742686271667,0.6092535257339478,1.1191191191191192
560,2642.0,1001.0,1571.0,0.0,0.6271065473556519,1.0,0.7708241939544678,0.6108087301254272,1.1211211211211212
561,2642.0,996.0,1576.0,0.0,0.626363217830658,1.0,0.7702624201774597,0.6127527356147766,1.1231231231231231
562,2642.0,992.0,1580.0,0.0,0.6257697939872742,1.0,0.7698135375976562,0.6143079400062561,1.125125125125125
563,2642.0,983.0,1589.0,0.0,0.6244386434555054,1.0,0.7688054442405701,0.617807149887085,1.127127127127127
564,2642.0,978.0,1594.0,0.0,0.6237016320228577,1.0,0.768246591091156,0.6197511553764343,1.1291291291291292
565,2642.0,973.0,1599.0,0.0,0.6229662895202637,1.0,0.767688512802124,0.6216951608657837,1.1311311311311312
566,2642.0,967.0,1605.0,0.0,0.6220861673355103,1.0,0.7670198678970337,0.6240279674530029,1.1331331331331331
